schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,reference_scenario_id,metric,difference_direction,comparison_method,n_pairs,difference_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,system_time_max_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,51.6610383961,12.9238710782,1.82771137571,49,0.95,47.9881148748,55.3339619173,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,cutoff_backlog,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.22,2.69761799689,0.38150079573,49,0.95,-0.986654552045,0.546654552045,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,cohort_clear_time_after_cutoff_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,24.9659334707,14.3949139109,2.03574824819,49,0.95,20.8749442021,29.0569227393,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.82827222638,1.7827723331,0.25212208121,49,0.95,0.321613935247,1.33493051751,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.144682210509,0.43609090908,0.0616725678049,49,0.95,0.0207465454381,0.26861787558,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,security_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.10182262076,1.42356494495,0.201322485207,49,0.95,-0.50639530171,0.30275006019,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,immigration_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.95634530106,1.69160569575,0.239229171711,49,0.95,0.47559628159,1.43709432053,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.66,3.19827759768,0.452304755488,49,0.95,-1.56894043626,0.248940436264,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,2.42,3.13042997633,0.442709652859,49,0.95,1.53034164438,3.30965835562,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,1.5,2.93640068444,0.41526976725,49,0.95,0.665484159006,2.33451584099,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
