schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,9.44,4.58996242926,0.649118711825,0.95,8.13554711076,10.7444528892,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,time_weighted_mean_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.53736278403,1.10801521083,0.156697013847,0.95,0.222468345271,0.852257222789,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,time_weighted_mean_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.557942540253,0.39388388413,0.0557035930936,0.95,0.446001978953,0.669883101553,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.09530532428,1.37777449463,0.19484673762,0.95,0.703746145327,1.48686450324,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,56.1499653193,2.53789778075,0.358912946145,0.95,55.4287027505,56.8712278882,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,system_time_p99_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,71.0107878606,4.63723191166,0.655803626134,0.95,69.6929011331,72.3286745881,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,system_time_max_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,92.5279149222,13.5986248948,1.92313597559,0.95,88.663228488,96.3926013564,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,50.44,8.09676176137,1.14505502942,0.95,48.1389257677,52.7410742323,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,60.3305261528,14.9946570514,2.12056473652,0.95,56.0690917696,64.5919605361,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,4.75706462112,3.13204866727,0.442938570327,0.95,3.86694623862,5.64718300362,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.97594014212,0.982706446263,0.138975678414,0.95,0.696658060217,1.25522222402,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.2170543945,2.72206058069,0.384957499081,0.95,1.443453337,2.990655452,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.29131990762,1.86382428912,0.263584558756,0.95,2.76162690545,3.82101290979,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,7.72,4.98994908158,0.705685366672,0.95,6.30187216193,9.13812783807,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,9.4,3.42857142857,0.484873221385,0.95,8.42561078116,10.3743892188,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0.5,SERVICE_VARIABILITY_SCV050_ICV050,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,10.84,5.05625496645,0.715062434836,0.95,9.40302823795,12.276971762,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
