schema_version,study_id,analysis_role,scenario_id,arrival_level_id,input_sample_id,metric,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_nominal_offered_load,50,0.826795937552,3.89144086681e-17,5.50332845101e-18,0.95,0.826795937552,0.826795937552
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_nominal_offered_load,50,0.844512993364,0,0,0.95,0.844512993364,0.844512993364
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_arrival_window_utilization,50,0.800803545533,0.0379247062358,0.00536336339077,0.95,0.790025463275,0.811581627791
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_arrival_window_utilization,50,0.765963072924,0.0366085834456,0.0051772355208,0.95,0.755559028624,0.776367117223
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_15_rate,50,0.00518681318681,0.0366763077714,0.00518681318681,0.95,-0.00523647815302,0.0156101045266
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_30_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_nominal_offered_load,50,1.15536445091,0,0,0.95,1.15536445091,1.15536445091
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_nominal_offered_load,50,1.18012226058,0,0,0.95,1.18012226058,1.18012226058
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_arrival_window_utilization,50,0.963813312076,0.00789962179282,0.0011171752277,0.95,0.961568264402,0.966058359749
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_arrival_window_utilization,50,0.902307235711,0.0052968189058,0.000749083313402,0.95,0.900801896434,0.903812574988
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_15_rate,50,0.687204216407,0.118452229802,0.0167516749879,0.95,0.653540465171,0.720867967643
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_30_rate,50,0.4099686639,0.167946020203,0.0237511539518,0.95,0.362238933065,0.457698394735
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_60_rate,50,0.0445928318625,0.0756560464661,0.0106993806988,0.95,0.0230916213576,0.0660940423674
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_nominal_offered_load,50,0.572580221824,0,0,0.95,0.572580221824,0.572580221824
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,REFERENCE_ASSUMPTION_SANDBOX_V1,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_nominal_offered_load,50,0.584849798011,0,0,0.95,0.584849798011,0.584849798011
