replication_id,traveller_id,arrival_seconds,security_service_demand_seconds,immigration_primary_service_demand_seconds,additional_check_flag,additional_check_service_demand_seconds,lane_tie_u,security_queue_join_seconds,security_start_seconds,security_end_seconds,immigration_queue_join_seconds,immigration_start_seconds,exit_seconds
1,LOCAL_WINDOW_HPP_BASE_R001_T00099,68.777409204,21.818181818,13.000000000,false,,0.595018706,68.777409204,68.777409204,90.595591022,90.595591022,90.595591022,103.595591022
1,LOCAL_WINDOW_HPP_BASE_R001_T00100,71.912909696,21.818181818,13.000000000,false,,0.673954738,71.912909696,71.912909696,93.731091514,93.731091514,93.731091514,106.731091514
1,LOCAL_WINDOW_HPP_BASE_R001_T00101,72.124040348,21.818181818,13.000000000,false,,0.690465194,72.124040348,72.124040348,93.942222166,93.942222166,93.942222166,106.942222166
1,LOCAL_WINDOW_HPP_BASE_R001_T00102,72.273479316,21.818181818,13.000000000,false,,0.222665235,72.273479316,72.273479316,94.091661134,94.091661134,94.930019215,107.930019215
1,LOCAL_WINDOW_HPP_BASE_R001_T00103,73.136824673,21.818181818,13.000000000,false,,0.008001380,73.136824673,73.136824673,94.955006491,94.955006491,95.371750276,108.371750276
1,LOCAL_WINDOW_HPP_BASE_R001_T00104,74.129717018,21.818181818,13.000000000,false,,0.838690955,74.129717018,74.129717018,95.947898836,95.947898836,96.453901161,109.453901161
1,LOCAL_WINDOW_HPP_BASE_R001_T00105,78.343269742,21.818181818,13.000000000,false,,0.029693897,78.343269742,78.343269742,100.161451560,100.161451560,100.161451560,113.161451560
1,LOCAL_WINDOW_HPP_BASE_R001_T00106,81.028619665,21.818181818,13.000000000,false,,0.718426105,81.028619665,81.028619665,102.846801483,102.846801483,102.846801483,115.846801483
1,LOCAL_WINDOW_HPP_BASE_R001_T00107,81.910365683,21.818181818,13.000000000,false,,0.940546807,81.910365683,81.910365683,103.728547501,103.728547501,103.728547501,116.728547501
1,LOCAL_WINDOW_HPP_BASE_R001_T00108,82.753024846,21.818181818,13.000000000,false,,0.124237154,82.753024846,82.753024846,104.571206664,104.571206664,104.571206664,117.571206664
1,LOCAL_WINDOW_HPP_BASE_R001_T00109,84.390502825,21.818181818,13.000000000,false,,0.634616864,84.390502825,84.390502825,106.208684643,106.208684643,106.208684643,119.208684643
1,LOCAL_WINDOW_HPP_BASE_R001_T00110,84.844978238,21.818181818,13.000000000,false,,0.640512319,84.844978238,84.844978238,106.663160056,106.663160056,106.663160056,119.663160056
1,LOCAL_WINDOW_HPP_BASE_R001_T00111,85.540573110,21.818181818,13.000000000,false,,0.780170785,85.540573110,85.540573110,107.358754928,107.358754928,107.358754928,120.358754928
1,LOCAL_WINDOW_HPP_BASE_R001_T00112,86.401507038,21.818181818,13.000000000,false,,0.620686906,86.401507038,86.401507038,108.219688856,108.219688856,108.219688856,121.219688856
1,LOCAL_WINDOW_HPP_BASE_R001_T00113,87.412764346,21.818181818,13.000000000,false,,0.429417782,87.412764346,87.412764346,109.230946164,109.230946164,109.230946164,122.230946164
1,LOCAL_WINDOW_HPP_BASE_R001_T00114,88.075065073,21.818181818,13.000000000,false,,0.270687040,88.075065073,88.075065073,109.893246891,109.893246891,109.893246891,122.893246891
1,LOCAL_WINDOW_HPP_BASE_R001_T00115,88.900608725,21.818181818,13.000000000,false,,0.776914626,88.900608725,88.900608725,110.718790543,110.718790543,110.718790543,123.718790543
1,LOCAL_WINDOW_HPP_BASE_R001_T00116,89.762638298,21.818181818,13.000000000,false,,0.788908459,89.762638298,89.762638298,111.580820116,111.580820116,111.580820116,124.580820116
1,LOCAL_WINDOW_HPP_BASE_R001_T00117,89.858917739,21.818181818,13.000000000,false,,0.177550435,89.858917739,89.858917739,111.677099557,111.677099557,111.677099557,124.677099557
1,LOCAL_WINDOW_HPP_BASE_R001_T00118,89.868999684,21.818181818,13.000000000,false,,0.629457167,89.868999684,89.868999684,111.687181502,111.687181502,111.687181502,124.687181502
1,LOCAL_WINDOW_HPP_BASE_R001_T00119,90.042360928,21.818181818,13.000000000,false,,0.751360635,90.042360928,90.042360928,111.860542746,111.860542746,111.860542746,124.860542746
1,LOCAL_WINDOW_HPP_BASE_R001_T00120,90.983442160,21.818181818,13.000000000,false,,0.509276904,90.983442160,90.983442160,112.801623978,112.801623978,112.801623978,125.801623978
1,LOCAL_WINDOW_HPP_BASE_R001_T00121,91.172760409,21.818181818,13.000000000,false,,0.040210850,91.172760409,91.172760409,112.990942227,112.990942227,112.990942227,125.990942227
1,LOCAL_WINDOW_HPP_BASE_R001_T00122,92.297285998,21.818181818,13.000000000,false,,0.991950002,92.297285998,92.297285998,114.115467816,114.115467816,114.115467816,127.115467816
1,LOCAL_WINDOW_HPP_BASE_R001_T00123,94.056132796,21.818181818,13.000000000,false,,0.593168274,94.056132796,94.056132796,115.874314614,115.874314614,115.874314614,128.874314614
1,LOCAL_WINDOW_HPP_BASE_R001_T00124,94.176213931,21.818181818,13.000000000,false,,0.867986482,94.176213931,94.176213931,115.994395749,115.994395749,115.994395749,128.994395749
1,LOCAL_WINDOW_HPP_BASE_R001_T00125,94.530543648,21.818181818,13.000000000,false,,0.786307354,94.530543648,94.530543648,116.348725466,116.348725466,116.348725466,129.348725466
1,LOCAL_WINDOW_HPP_BASE_R001_T00126,94.910672895,21.818181818,13.000000000,false,,0.645535634,94.910672895,94.910672895,116.728854713,116.728854713,116.728854713,129.728854713
1,LOCAL_WINDOW_HPP_BASE_R001_T00127,94.978671143,21.818181818,13.000000000,false,,0.012563837,94.978671143,94.978671143,116.796852961,116.796852961,116.796852961,129.796852961
1,LOCAL_WINDOW_HPP_BASE_R001_T00128,96.011508996,21.818181818,13.000000000,false,,0.064518738,96.011508996,96.011508996,117.829690814,117.829690814,117.829690814,130.829690814
1,LOCAL_WINDOW_HPP_BASE_R001_T00129,96.027874661,21.818181818,13.000000000,false,,0.882474608,96.027874661,96.027874661,117.846056479,117.846056479,117.846056479,130.846056479
1,LOCAL_WINDOW_HPP_BASE_R001_T00130,96.084548791,21.818181818,13.000000000,false,,0.964665521,96.084548791,96.084548791,117.902730609,117.902730609,119.208684643,132.208684643
1,LOCAL_WINDOW_HPP_BASE_R001_T00131,96.319120028,21.818181818,13.000000000,false,,0.672255484,96.319120028,96.319120028,118.137301846,118.137301846,119.663160056,132.663160056
1,LOCAL_WINDOW_HPP_BASE_R001_T00132,97.423017982,21.818181818,13.000000000,false,,0.152943384,97.423017982,97.423017982,119.241199800,119.241199800,120.358754928,133.358754928
1,LOCAL_WINDOW_HPP_BASE_R001_T00133,98.425879551,21.818181818,13.000000000,false,,0.747341712,98.425879551,98.425879551,120.244061369,120.244061369,121.219688856,134.219688856
1,LOCAL_WINDOW_HPP_BASE_R001_T00134,99.148648553,21.818181818,13.000000000,false,,0.223123220,99.148648553,99.148648553,120.966830371,120.966830371,122.230946164,135.230946164
1,LOCAL_WINDOW_HPP_BASE_R001_T00135,101.154533026,21.818181818,13.000000000,false,,0.523534953,101.154533026,101.154533026,122.972714844,122.972714844,122.972714844,135.972714844
1,LOCAL_WINDOW_HPP_BASE_R001_T00136,101.339151434,21.818181818,13.000000000,false,,0.940080340,101.339151434,101.339151434,123.157333252,123.157333252,123.718790543,136.718790543
1,LOCAL_WINDOW_HPP_BASE_R001_T00137,101.415796423,21.818181818,13.000000000,false,,0.041179001,101.415796423,101.415796423,123.233978241,123.233978241,124.580820116,137.580820116
1,LOCAL_WINDOW_HPP_BASE_R001_T00138,101.647700788,21.818181818,13.000000000,false,,0.689860893,101.647700788,101.647700788,123.465882606,123.465882606,124.677099557,137.677099557
1,LOCAL_WINDOW_HPP_BASE_R001_T00139,102.703030799,21.818181818,13.000000000,false,,0.897865458,102.703030799,102.703030799,124.521212617,124.521212617,124.687181502,137.687181502
1,LOCAL_WINDOW_HPP_BASE_R001_T00140,103.724209228,21.818181818,13.000000000,false,,0.255153485,103.724209228,103.724209228,125.542391046,125.542391046,125.542391046,138.542391046
1,LOCAL_WINDOW_HPP_BASE_R001_T00141,104.163462070,21.818181818,13.000000000,false,,0.980211332,104.163462070,104.163462070,125.981643888,125.981643888,125.981643888,138.981643888
1,LOCAL_WINDOW_HPP_BASE_R001_T00142,104.528393646,21.818181818,13.000000000,false,,0.461820972,104.528393646,104.528393646,126.346575464,126.346575464,126.346575464,139.346575464
1,LOCAL_WINDOW_HPP_BASE_R001_T00143,105.061898737,21.818181818,13.000000000,false,,0.664045455,105.061898737,105.061898737,126.880080555,126.880080555,127.115467816,140.115467816
1,LOCAL_WINDOW_HPP_BASE_R001_T00144,105.457019709,21.818181818,13.000000000,false,,0.978417268,105.457019709,105.457019709,127.275201527,127.275201527,128.874314614,141.874314614
