schema_version,study_id,security_capacity,immigration_capacity,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,7.63588693424,4.52116640726,0.639389485089,0.95,6.35098565812,8.92078821036,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.52152288338,2.33403408997,0.330082266507,0.95,1.85819773439,3.18484803237,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,13.12,6.5141603998,0.921241398487,0.95,11.2686960982,14.9713039018,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.15641280942,3.17982270361,0.449694839339,0.95,2.25271719602,4.06010842282,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,53.54,9.77754612177,1.38275383321,0.95,50.7612521377,56.3187478623,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,38.3067665606,4.67260079702,0.66080554187,0.95,36.9788281071,39.6347050141,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,3.12827070512,2.7414955337,0.387706016495,0.95,2.34914629509,3.90739511515,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,CAPACITY_RESPONSE_S35_I19,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,5.85195166982,2.97905732361,0.421302327013,0.95,5.00531294611,6.69859039353,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,18,CAPACITY_RESPONSE_S35_I18,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,12.2478467585,6.63015058961,0.93764488844,0.95,10.3635788095,14.1321147076,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,18,CAPACITY_RESPONSE_S35_I18,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,5.04810397458,3.90078701325,0.551654589806,0.95,3.93951257146,6.1566953777,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,18,CAPACITY_RESPONSE_S35_I18,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,19.1,8.95168437006,1.26595934422,0.95,16.5559594506,21.6440405494,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
